"","Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Managers","yearID","Time"
"190","SLB","179,126","2,326",27.5,28.4,103,105,2,0,2,"$128,120","Killefer",1931,"0"
"191","STL","608,535","7,802",30,30.4,105,103,5,0,8,"","Street",1931,"0"
"192","WSH","492,657","6,236",28.9,29.1,101,98,3,0,6,"$122,550","Johnson",1931,"0"
"193","BOS","182,150","2,366",28.4,25.7,94,99,0,0,1,"$121,900","Collins and McManus",1932,"0"
"194","BRO","681,827","8,741",29.8,31.4,98,98,5,0,5,"","Carey",1932,"0"
"195","BSN","507,606","6,592",29.7,30.2,96,97,1,0,3,"","McKechnie",1932,"0"
"196","CHC","974,688","12,658",28.8,30.6,100,98,5,0,10,"","Hornsby and Grimm",1932,"0"
"197","CHW","233,198","3,029",27.9,31.2,93,96,3,0,2,"$218,600","Fonseca",1932,"0"
"198","CIN","356,950","4,636",29.6,30.8,96,99,5,0,3,"","Howley",1932,"0"
"199","CLE","468,953","6,090",28.2,25.6,108,107,1,0,8,"$127,450","Peckinpaugh",1932,"0"
"200","DET","397,157","5,092",27.4,28.3,104,105,1,0,5,"$73,500","Harris",1932,"0"
"201","NYG","484,868","6,297",27.6,29.9,98,96,6,0,7,"","McGraw and Terry",1932,"0"
"202","NYY","962,320","12,498",28.3,28.5,95,91,9,0,11,"$317,500","McCarthy",1932,"0"
"203","PHA","405,500","5,266",29,30.1,103,101,4,0,6,"$211,627","Mack",1932,"0"
"204","PHI","268,914","3,492",27.6,29.8,112,114,1,0,3,"","Shotton",1932,"0"
"205","PIT","287,262","3,780",26.6,28.6,97,97,4,0,6,"","Gibson",1932,"0"
"206","SLB","112,558","1,501",27.5,28.2,105,107,2,0,2,"$107,750","Killefer",1932,"0"
"207","STL","279,219","3,534",29.5,27.4,104,102,5,0,10,"","Street",1932,"0"
"208","WSH","371,396","4,823",30,29,98,96,3,0,6,"$116,650","Johnson",1932,"0"
"209","BOS","268,715","3,732",28.4,26.9,102,103,1,1,2,"$115,100","McManus",1933,"0"
"210","BRO","526,815","6,585",29,29.3,95,96,2,1,6,"","Carey",1933,"0"
